contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL171117C00002500,AAPL,2017-11-17,2.50,call,80.00,166.60,166.10,5,167.10,5,0,0,2017-11-15,5.27090,1.00000,0.00000,-0.00008,0.00000,0.00014
AAPL171117P00002500,AAPL,2017-11-17,2.50,put,0.00,0.01,0.00,0,0.02,18,0,0,2017-11-15,5.27090,-0.00000,0.00000,-0.00000,0.00000,-0.00000
AAPL171117C00005000,AAPL,2017-11-17,5.00,call,75.90,164.10,163.60,5,164.60,5,0,0,2017-11-15,5.19179,1.00000,0.00000,-0.00018,0.00000,0.00027
AAPL171117P00005000,AAPL,2017-11-17,5.00,put,0.00,0.01,0.00,0,0.02,19,0,0,2017-11-15,5.19179,-0.00000,0.00000,-0.00002,0.00000,-0.00000
AAPL171117C00007500,AAPL,2017-11-17,7.50,call,76.38,161.60,161.10,5,162.10,5,0,0,2017-11-15,5.11269,1.00000,0.00000,-0.00059,0.00000,0.00041
AAPL171117P00007500,AAPL,2017-11-17,7.50,put,0.00,0.01,0.00,0,0.02,18,0,0,2017-11-15,5.11269,-0.00000,0.00000,-0.00035,0.00000,-0.00000
AAPL171117C00010000,AAPL,2017-11-17,10.00,call,82.73,159.10,158.60,5,159.60,5,0,0,2017-11-15,5.03358,0.99999,0.00000,-0.00224,0.00001,0.00055
AAPL171117P00010000,AAPL,2017-11-17,10.00,put,0.00,0.01,0.00,0,0.02,13,0,0,2017-11-15,5.03358,-0.00001,0.00000,-0.00192,0.00001,-0.00000
AAPL171117C00012500,AAPL,2017-11-17,12.50,call,70.20,156.60,156.10,5,157.10,5,0,0,2017-11-15,4.95448,0.99995,0.00000,-0.00689,0.00003,0.00068
AAPL171117P00012500,AAPL,2017-11-17,12.50,put,0.00,0.01,0.00,0,0.02,18,0,0,2017-11-15,4.95448,-0.00005,0.00000,-0.00649,0.00003,-0.00000
AAPL171117C00015000,AAPL,2017-11-17,15.00,call,70.70,154.10,153.60,5,154.60,5,0,0,2017-11-15,4.87537,0.99987,0.00000,-0.01688,0.00007,0.00082
AAPL171117P00015000,AAPL,2017-11-17,15.00,put,0.00,0.01,0.00,0,0.02,19,0,0,2017-11-15,4.87537,-0.00013,0.00000,-0.01641,0.00007,-0.00000
AAPL171117C00017500,AAPL,2017-11-17,17.50,call,71.15,151.60,151.10,5,152.10,5,0,0,2017-11-15,4.79627,0.99970,0.00001,-0.03484,0.00014,0.00096
AAPL171117P00017500,AAPL,2017-11-17,17.50,put,0.00,0.01,0.00,0,0.02,19,0,0,2017-11-15,9.88179,-0.00026,0.00001,-0.03031,0.00012,-0.00000
AAPL171117C00020000,AAPL,2017-11-17,20.00,call,70.00,149.53,148.50,4,150.55,2,0,0,2017-11-15,4.71716,0.99943,0.00002,-0.06331,0.00025,0.00109
AAPL171117P00020000,AAPL,2017-11-17,20.00,put,0.00,0.01,0.00,0,0.02,13,0,0,2017-11-15,9.29034,-0.00028,0.00001,-0.03039,0.00013,-0.00000
AAPL171117C00022500,AAPL,2017-11-17,22.50,call,67.20,146.60,146.10,5,147.10,5,0,0,2017-11-15,9.25009,0.99950,0.00002,-0.05258,0.00022,0.00123
AAPL171117P00022500,AAPL,2017-11-17,22.50,put,0.00,0.01,0.00,0,0.02,13,0,0,2017-11-15,8.77221,-0.00030,0.00001,-0.03045,0.00014,-0.00000
AAPL171117C00025000,AAPL,2017-11-17,25.00,call,0.00,144.10,143.60,5,144.60,5,0,0,2017-11-15,8.75681,0.99947,0.00002,-0.05235,0.00024,0.00136
AAPL171117P00025000,AAPL,2017-11-17,25.00,put,0.00,0.01,0.00,0,0.02,18,0,0,2017-11-15,8.31140,-0.00032,0.00001,-0.03048,0.00015,-0.00000
AAPL171117C00030000,AAPL,2017-11-17,30.00,call,65.00,139.10,138.60,5,139.60,5,0,0,2017-11-15,7.91004,0.99941,0.00002,-0.05182,0.00026,0.00164
AAPL171117P00030000,AAPL,2017-11-17,30.00,put,0.00,0.01,0.00,0,0.02,18,0,0,2017-11-15,7.51965,-0.00036,0.00001,-0.03051,0.00016,-0.00000
AAPL171117C00035000,AAPL,2017-11-17,35.00,call,60.93,134.53,133.50,4,135.55,2,0,0,2017-11-15,4.24254,0.99375,0.00014,-0.55233,0.00221,0.00184
AAPL171117P00035000,AAPL,2017-11-17,35.00,put,0.00,0.01,0.00,0,0.02,19,0,0,2017-11-15,6.85518,-0.00039,0.00002,-0.03049,0.00018,-0.00000
AAPL171117C00040000,AAPL,2017-11-17,40.00,call,0.00,129.10,128.60,5,129.60,5,0,0,2017-11-15,6.58888,0.99931,0.00003,-0.05050,0.00030,0.00218
AAPL171117P00040000,AAPL,2017-11-17,40.00,put,0.00,0.01,0.00,0,0.02,13,0,0,2017-11-15,6.28294,-0.00043,0.00002,-0.03044,0.00019,-0.00000
AAPL171117C00045000,AAPL,2017-11-17,45.00,call,65.20,124.10,123.60,5,124.60,5,0,0,2017-11-15,6.05261,0.99926,0.00003,-0.04976,0.00032,0.00246
AAPL171117P00045000,AAPL,2017-11-17,45.00,put,0.00,0.01,0.00,0,0.02,13,0,0,2017-11-15,5.78036,-0.00047,0.00002,-0.03037,0.00021,-0.00000
AAPL171117C00047500,AAPL,2017-11-17,47.50,call,56.28,121.62,121.15,11,122.10,9,0,1,2017-11-15,6.24773,0.99854,0.00006,-0.09439,0.00059,0.00259
AAPL171117P00047500,AAPL,2017-11-17,47.50,put,0.00,0.01,0.00,0,0.02,72,0,1038,2017-11-15,5.55018,-0.00049,0.00003,-0.03032,0.00022,-0.00001
AAPL171117C00050000,AAPL,2017-11-17,50.00,call,62.56,119.10,118.60,5,119.60,5,0,0,2017-11-15,5.57488,0.99921,0.00004,-0.04899,0.00034,0.00273
AAPL171117P00050000,AAPL,2017-11-17,50.00,put,0.01,0.01,0.00,0,0.02,61,0,627,2017-11-15,5.33220,-0.00051,0.00003,-0.03027,0.00023,-0.00001
AAPL171117C00055000,AAPL,2017-11-17,55.00,call,60.02,114.07,113.60,13,114.55,11,0,2,2017-11-15,3.60970,1.00000,0.00000,-0.00175,0.00000,0.00301
AAPL171117P00055000,AAPL,2017-11-17,55.00,put,0.01,0.01,0.00,0,0.02,64,0,876,2017-11-15,4.92779,-0.00055,0.00003,-0.03015,0.00024,-0.00001
AAPL171117C00060000,AAPL,2017-11-17,60.00,call,57.85,109.10,108.60,5,109.60,5,0,0,2017-11-15,4.75219,0.99910,0.00005,-0.04737,0.00038,0.00328
AAPL171117P00060000,AAPL,2017-11-17,60.00,put,0.01,0.01,0.00,0,0.02,59,0,2103,2017-11-15,4.55936,-0.00060,0.00004,-0.03003,0.00026,-0.00001
AAPL171117C00065000,AAPL,2017-11-17,65.00,call,55.20,104.10,103.60,5,104.60,5,0,0,2017-11-15,4.39244,0.99904,0.00006,-0.04655,0.00041,0.00355
AAPL171117P00065000,AAPL,2017-11-17,65.00,put,0.01,0.01,0.00,0,0.02,64,0,2120,2017-11-15,4.22064,-0.00065,0.00004,-0.02988,0.00028,-0.00001
AAPL171117C00070000,AAPL,2017-11-17,70.00,call,52.70,99.07,98.60,22,99.55,15,0,20,2017-11-15,3.13507,1.00000,0.00000,-0.00222,0.00000,0.00384
AAPL171117P00070000,AAPL,2017-11-17,70.00,put,0.00,0.01,0.00,0,0.02,38,0,2334,2017-11-15,3.90724,-0.00070,0.00005,-0.02972,0.00030,-0.00001
AAPL171117C00075000,AAPL,2017-11-17,75.00,call,94.15,94.07,93.60,19,94.55,15,5,5,2017-11-15,2.97686,1.00000,0.00000,-0.00238,0.00000,0.00411
AAPL171117P00075000,AAPL,2017-11-17,75.00,put,0.01,0.01,0.00,0,0.02,62,0,1667,2017-11-15,3.61548,-0.00076,0.00006,-0.02954,0.00033,-0.00001
AAPL171117C00080000,AAPL,2017-11-17,80.00,call,47.70,89.10,88.65,21,89.55,9,0,60,2017-11-15,3.46152,0.99885,0.00009,-0.04393,0.00048,0.00437
AAPL171117P00080000,AAPL,2017-11-17,80.00,put,0.01,0.01,0.00,0,0.02,62,0,3719,2017-11-15,3.34231,-0.00082,0.00007,-0.02934,0.00035,-0.00001
AAPL171117C00085000,AAPL,2017-11-17,85.00,call,45.03,84.10,83.65,12,84.55,6,0,2,2017-11-15,3.19018,0.99878,0.00010,-0.04303,0.00051,0.00465
AAPL171117P00085000,AAPL,2017-11-17,85.00,put,0.01,0.01,0.00,0,0.02,84,0,1693,2017-11-15,3.08561,-0.00089,0.00008,-0.02914,0.00038,-0.00001
AAPL171117C00090000,AAPL,2017-11-17,90.00,call,42.68,79.10,78.65,21,79.55,8,0,19,2017-11-15,2.93440,0.99870,0.00012,-0.04212,0.00054,0.00492
AAPL171117P00090000,AAPL,2017-11-17,90.00,put,0.01,0.01,0.00,0,0.02,74,0,5066,2017-11-15,2.84324,-0.00096,0.00009,-0.02892,0.00041,-0.00001
AAPL171117C00092500,AAPL,2017-11-17,92.50,call,41.32,76.62,76.15,5,77.10,5,0,0,2017-11-15,3.06412,0.99722,0.00022,-0.08475,0.00107,0.00504
AAPL171117P00092500,AAPL,2017-11-17,92.50,put,0.01,0.01,0.00,0,0.02,38,0,1222,2017-11-15,2.72678,-0.00100,0.00010,-0.02879,0.00042,-0.00001
AAPL171117C00095000,AAPL,2017-11-17,95.00,call,40.20,74.10,73.65,21,74.55,9,0,20,2017-11-15,2.69248,0.99862,0.00013,-0.04120,0.00057,0.00519
AAPL171117P00095000,AAPL,2017-11-17,95.00,put,0.01,0.01,0.00,0,0.01,27,0,2629,2017-11-15,2.61337,-0.00105,0.00011,-0.02866,0.00044,-0.00001
AAPL171117C00097500,AAPL,2017-11-17,97.50,call,38.81,71.60,71.15,18,72.05,8,0,10,2017-11-15,2.57617,0.99857,0.00014,-0.04073,0.00058,0.00533
